product_name,product_URL,date_scrape,subcategory
Panel Led Philips 18W 8`` Sobreponer Luz Blanca,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/5a9c7bcd-e2ce-40e8-ba5c-563848e47f8f,2025-03-11,Hogar
Panel Led Philips 24W 11`` Empotrable Luz Blanca,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/e24a5d70-feaf-40e2-874e-21fbf3f00512,2025-03-11,Hogar
Panel Led Philips 12W  6``  Empotrable Luz Blanca,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/6528c1cb-5b01-42cc-88d3-b189604341d0,2025-03-11,Hogar
Bombillos Led Philips10W E27 luz Clara,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/a267474e-114d-47b9-954a-743b48b3a1e3,2025-03-11,Hogar
Suavizante Suavitel Fresca Primavera  1000ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/fc3658c1-ed6b-ea11-a94c-0004ffd34543,2025-03-11,Ropa
Crema Quitamanchas Frotex Ropa x400gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/4af070ec-5251-4117-bd1f-633c146de7df,2025-03-11,Ropa
Suavizante Suavitel Complete Lavanda x160ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/e58db33f-05c8-ec11-997e-a04a5e928420,2025-03-11,Ropa
Suavizante Suavitel Frescura De Manzana x180ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/149710af-3d56-ee11-9937-6045bdef5d58,2025-03-11,Ropa
Suavizante Suavitel Vainilla x180ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/b22f524c-05c8-ec11-997e-a04a5e928420,2025-03-11,Ropa
Suavizante Suavitel Fresas Y Chocolate x180ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/3d3cae45-05c8-ec11-997e-a04a5e928420,2025-03-11,Ropa
Suavizante Suavitel Fresca Primavera x180ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/19ff1139-05c8-ec11-997e-a04a5e928420,2025-03-11,Ropa
Detergente Ak-1 Floral x450gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/d2836ad2-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Detergente Ak-1 Manzana x450gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/fedfccfc-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Suavizante Aromatel Floral Doypack x180ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/47431250-6430-ed11-b494-002248454599,2025-03-11,Ropa
Suavizante Aromatel Frambuesa Doypack x180ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/09414371-7087-4ef4-814d-df2f626b2a74,2025-03-11,Ropa
Suavizante Aromatel Manzana Doypack x180ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/43456cc0-49a7-4d3a-bd9f-998072857e3c,2025-03-11,Ropa
Suavizante Aromatel Manzana Doypack x400ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c445f9a6-f09c-4792-ae62-41ed74454a2d,2025-03-11,Ropa
Suavizante Aromatel Floral DoyPack x400ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/a03f794f-5e5d-ee11-9937-6045bdd4a572,2025-03-11,Ropa
Detergente AS Bicarbonato + Manzana Verde x125gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/bf62086f-9730-4f36-b166-94cea1aabd88,2025-03-11,Ropa
Jabón Blanco AzulK Brisa floral x400gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/3deb69d8-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Suavizante Dersa Eterna Primavera x200ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/4459d14c-2e45-4b8b-b4c2-3fbff82b4f03,2025-03-11,Ropa
Detergente Deterk 4K Floral x200gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/62dbcff6-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Detergente Deterk 4K Floral x450gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c320a6ea-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Detergente En Polvo Fab Floral x225gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/6f8d6773-5e5d-ee11-9937-6045bdd4a572,2025-03-11,Ropa
Detergente Fab Liquido Ultra Doypack x300ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c9da8133-0d6a-4e60-b5b1-a5c960914a66,2025-03-11,Ropa
Detergente Liquidio Fab Ulta Concentrado x330ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/8d59847c-f46d-ee11-b004-6045bddad585,2025-03-11,Ropa
Detergente En Polvo Fab Ultra x450gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/bcf98049-5e5d-ee11-9937-6045bdd4a572,2025-03-11,Ropa
Detergente Líquido Poder Quitamanchas Frotex  x900ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/d5068a11-e252-ec11-981f-0004ffd3426d,2025-03-11,Ropa
Crema Quitamanchas Frotex Ropa x400gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/a81e505e-cdba-401f-8ff7-5d7b4026b706,2025-03-11,Ropa
Detergente Líquido Biodegradable Frotex x4000ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/08b8c5a0-b3b8-ed11-a8de-6045bd33e08b,2025-03-11,Ropa
Suavizante Suavitel  x110ml R Fresca Primavera 100% Rendidor,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/89454999-f36b-ea11-a94c-0004ffd34543,2025-03-11,Ropa
Suavizante Suavitel DoyPack Fresca Primavera 360ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/078bd39c-e172-ea11-a94c-0004ffd34543,2025-03-11,Ropa
Suavizante Suavitel x2un x1000ml Ahorre 15%Fresca Primaver,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/f60d9658-ee6b-ea11-a94c-0004ffd34543,2025-03-11,Ropa
Suavizante Suavitel Doy pack Primaveral Cuidado Superior  1500ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/26b4392c-f36b-ea11-a94c-0004ffd34543,2025-03-11,Ropa
Jabón Super Riel x200gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/10836ad2-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Jabón Super Riel x3Un x280gr c/u,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/644075de-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Jabón Super Riel x400gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/124075de-62eb-ec11-a1f9-002248454bd2,2025-03-11,Ropa
Jabón Liquido Super Riel Multiusos Doypack x500ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/914c60a2-7a5c-ed11-819c-0022484b1544,2025-03-11,Ropa
Jabón Liquido Super Riel Multiusos Doypack x1600ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c308b306-7dee-ed11-907a-6045bd30b04c,2025-03-11,Ropa
Detergente Liquido Top Terra x900ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/02db27b1-0b90-ec11-a507-28187831d14a,2025-03-11,Ropa
Desmanchador Vanish Polvo blanco x12Un x30gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/4995c727-28f9-eb11-b563-501ac5124066,2025-03-11,Ropa
Desmanchador Vanish Polvo rosa x12Un x30gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/688492d2-27f9-eb11-b563-501ac5124066,2025-03-11,Ropa
